Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1765181704993,-0.18,-0.06,158.42,1.367,-0.752,976.201,-0.25,0.40,0.03
1765181705003,-0.19,-0.06,158.41,2.832,-3.682,980.107,-0.12,0.52,-0.22
1765181705012,-0.15,-0.08,158.41,3.809,-0.264,977.666,0.00,0.27,-0.10
1765181705680,-0.15,-0.11,158.40,3.809,-1.729,975.225,-0.12,0.15,-0.10
1765181705689,-0.14,-0.15,158.41,4.785,-1.729,977.666,0.00,-0.10,0.09
1765181705708,-0.14,-0.10,158.42,2.344,-3.193,974.248,-0.12,0.27,0.22
1765181705718,-0.13,-0.12,158.43,4.785,-2.217,982.061,0.00,0.27,0.15
1765181705728,-0.13,-0.10,158.42,1.855,-1.240,978.643,-0.18,0.40,-0.16
1765181705737,-0.13,-0.12,158.42,2.344,-2.217,979.619,0.00,-0.23,0.15
1765181705747,-0.14,-0.15,158.42,2.832,-2.705,980.596,-0.06,-0.48,-0.03
1765181705757,-0.15,-0.16,158.42,3.320,-3.682,978.643,0.00,0.02,-0.03
1765181705766,-0.16,-0.15,158.43,2.344,-4.170,979.619,0.32,0.02,0.09
1765181705775,-0.16,-0.13,158.42,1.855,-1.240,980.107,-0.37,0.21,-0.16
1765181705795,-0.20,-0.14,158.40,3.320,-3.682,976.689,-0.06,0.21,-0.22
1765181705805,-0.17,-0.14,158.40,3.320,-1.240,979.131,0.07,0.09,0.09
1765181705814,-0.16,-0.15,158.40,3.809,-3.193,976.689,0.32,0.27,-0.16
1765181705824,-0.14,-0.13,158.41,1.855,-1.240,976.201,0.07,0.21,0.28
1765181705834,-0.14,-0.12,158.40,2.344,-3.193,978.643,0.25,0.27,-0.28
1765181705843,-0.14,-0.12,158.39,2.832,-3.193,977.666,0.13,0.21,-0.10
1765181705853,-0.15,-0.10,158.39,1.367,-2.705,976.201,-0.12,0.27,-0.03
1765181705872,-0.16,-0.11,158.40,2.344,-4.170,976.201,0.13,0.15,0.09
1765181705915,-0.17,-0.12,158.41,3.320,-3.682,977.666,0.00,0.15,0.22
1765181705918,-0.19,-0.11,158.41,2.832,-4.170,976.689,-0.12,0.40,-0.03
1765181705921,-0.25,-0.16,158.41,6.738,-7.100,980.596,-0.12,0.27,-0.03
1765181705924,-0.25,-0.16,158.42,2.832,-3.193,978.154,-0.12,0.15,0.28
1765181705949,-0.25,-0.06,158.41,-0.586,-4.658,979.131,-0.25,0.40,-0.16
1765181705968,-0.23,-0.12,158.40,4.297,-3.193,979.131,0.00,0.09,-0.03
1765181705997,-0.24,-0.07,158.41,1.855,-3.682,977.666,-0.06,0.27,0.09
1765181706007,-0.20,-0.08,158.41,3.320,-1.240,977.666,0.00,0.40,0.09
1765181706017,-0.20,-0.05,158.41,1.367,-4.170,982.061,0.13,0.59,0.03
1765181706026,-0.24,-0.08,158.41,3.320,-6.611,978.643,0.13,0.15,-0.16
1765181706036,-0.21,-0.06,158.41,0.879,-2.217,976.689,0.00,0.15,0.03
1765181706046,-0.19,-0.07,158.41,2.344,-2.217,978.643,0.19,0.27,-0.03
1765181706055,-0.17,-0.06,158.42,2.344,-2.217,978.643,0.13,0.46,0.22
1765181706074,-0.15,-0.07,158.43,2.344,-2.705,975.713,0.13,0.27,0.22
1765181706084,-0.14,-0.08,158.43,2.832,-2.217,976.689,0.13,0.21,0.03
1765181706093,-0.18,-0.08,158.43,3.320,-6.123,978.154,0.13,0.52,-0.03
1765181706103,-0.18,-0.09,158.44,2.832,-2.705,975.225,-0.06,0.21,0.22
1765181706113,-0.21,-0.12,158.44,3.809,-5.635,982.061,-0.06,0.02,-0.10
1765181706122,-0.22,-0.10,158.44,0.391,-4.658,980.596,0.13,-0.10,0.03
1765181706132,-0.19,-0.11,158.44,3.809,-0.264,974.248,-0.37,0.34,0.09
1765181706152,-0.16,-0.12,158.46,3.320,-2.705,981.572,0.25,0.21,0.15
1765181706161,-0.19,-0.09,158.45,0.879,-5.635,979.131,0.13,0.21,-0.10
1765181706170,-0.20,-0.13,158.46,4.297,-4.658,981.084,0.00,0.02,0.15
1765181706181,-0.18,-0.16,158.46,4.785,-1.240,981.084,0.00,-0.10,-0.03
1765181706190,-0.21,-0.16,158.46,2.344,-4.658,974.736,-0.18,0.02,0.09
1765181706200,-0.19,-0.16,158.47,2.344,-2.705,977.666,0.13,-0.04,0.09
1765181706209,-0.17,-0.12,158.47,0.879,-2.705,980.107,0.19,0.27,0.09
1765181706228,-0.16,-0.11,158.47,3.320,-2.217,980.107,-0.12,0.15,0.22
1765181706247,-0.11,-0.13,158.47,1.855,0.225,975.713,0.07,-0.04,-0.10
1765181706267,-0.13,-0.12,158.46,3.320,-3.193,981.084,0.13,0.21,-0.10
1765181706277,-0.16,-0.12,158.46,2.832,-4.658,978.643,0.07,0.21,-0.16
1765181706286,-0.18,-0.12,158.46,2.832,-3.682,977.178,-0.18,0.27,0.15
1765181706296,-0.16,-0.11,158.46,1.855,-2.217,980.596,0.25,0.15,-0.10
1765181706306,-0.18,-0.13,158.47,4.297,-4.170,981.084,-0.18,0.21,0.28
1765181706315,-0.17,-0.11,158.48,0.879,-2.217,980.107,0.00,0.09,0.09
1765181706325,-0.17,-0.10,158.48,3.320,-2.705,980.107,-0.12,0.59,0.15
